#,Category,Capability, User Story,Required?,Priority,Status,Frontend,Backend,Figma Links,Client comments
,HR Admin Operations,Terminate Employee Benefits,"As an HR Admin, I should be able to terminate employee benefits",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2482-34853&t=R5jBQYWFVqPl0hxK-4,
,HRMS,Asset Management,"As a provider, I should be able to manage employee onboarding documentation and background checks.",Yes,Should Have,Modified,4,4,,
,,,,,,,,,,
,HR Admin Operations,Reports,"As an HR Admin, I should be able to generate and download reports.",,,Phase 2,,,,
Supervisor Operations,,,,,,,,,,
,Supervisor Operations,Dashboard,"As a Supervisor, I should be able to view dashboard with - 
Today's Coverage percentage - Total Active Staff, On Shift, Pending Approvals, Upcoming Leave - Weekly Shift Calendar - Staffing Coverage Graph - Approval Queue",,,New,4,4,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-26165&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,Quick Action Buttons,"As a Supervisor, I should be able to access quick action buttons for 
- New Shift
- New Employee
- Label management.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-26165&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,View Weekly Shift Calendar,"As a Supervisor, I should be able to view weekly shift calendar with facility filter (ALF), week navigation, employee shifts with shift type and notes, and Day Off indicators.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-26165&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,View Staffing Coverage Graph,"As a Supervisor, I should be able to view staffing coverage graph showing 
- Required Staff
- Shortage
- Surplus by day with facility filter and legends.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-26165&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,View Approval Queue,"As a Supervisor, I should be able to view approval queue with filter (All) showing pending leave requests with 
- Employee details
-Dates,
- Leave type
- Status.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-26165&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,Navigate Supervisor Sidebar,"As a Supervisor, I should be able to navigate to Shift Calendar, Requests, Timecard, Performance, Tasks, Appreciation, and Profile from sidebar.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-26165&t=R5jBQYWFVqPl0hxK-4,
,,,,,,,,,,
,Supervisor Operations,Shift Management,"As a Supervisor, I should be able to view shift calendar in List, Week, and Month views with employee shifts and legends.",,,New,4,4,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-97389&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,Navigate Shift Calendar,"As a Supervisor, I should be able to navigate calendar with Today, date range selection, facility filter (ALF), and view toggle.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-101311&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,Create Employee Shift,"As a Supervisor, I should be able to create employee shift schedule.",,,New,4,4,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-98001&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,Bulk Assign Shifts,"As a Supervisor, I should be able to bulk assign shifts to multiple employees.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-97389&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,Edit Shift,"As a Supervisor, I should be able to edit existing shift details.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-97389&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,Change Shift Type,"As a Supervisor, I should be able to change shift type for an employee.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-97389&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,Assign Backup Staff,"As a Supervisor, I should be able to assign backup staff.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-97389&t=R5jBQYWFVqPl0hxK-4,
,,,,,,,,,,
,Supervisor Operations,Shift Change Requests,"As a Supervisor, I should be able to view shift requests list with status and request details.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-102676&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,Check Shift Availability,"As a Supervisor, I should be able to check availability showing existing swap requests, shift employees (1st/2nd/3rd shift), and availability conflicts.",,,New,4,4,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2206-21870&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,Approve / Reject Shift Change,"As a Supervisor, I should be able to approve / reject a shift change request.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2212-98975&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,Leave Requests,"As a Supervisor, I should be able to View all the leave requests list",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-103238&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,Approve / Reject Leave,"As a Supervisor, I should be able to approve / Reject leave requests and assign replacement employees.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2227-104332&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,View Leave request details,"As a Supervisor, I should be able to view particular employee leave request details",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2227-102084&t=R5jBQYWFVqPl0hxK-4,
,,,,,,,,,,
,Supervisor Operations,Staff Review & Performance,"As a Supervisor, I should be able to view performance reviews list",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-105653&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,Add Employee for Review,"As a Supervisor, I should be able to add employee for performance review.",,,New,2,2,,
,Supervisor Operations,Submit Performance Review,"As a Supervisor, I should be able to view and submit performance reviews with ratings and comments to HR Admin.",,,New,4,4,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2242-111953&t=R5jBQYWFVqPl0hxK-4,
,,,,,,,,,,
,Supervisor Operations,Timecard,"As a Supervisor, I should be able to approve timesheet submitted by staff.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-104060&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,View Weekly Timecards,"As a Supervisor, I should be able to view weekly timecard list",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-104060&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,Approve/Reject Timecards,"As a Supervisor, I should be able to approve timecards or reject with reason.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-118118&t=R5jBQYWFVqPl0hxK-4,
,,,,,,,,,,
,Supervisor Operations,View Tasks List,"As a Supervisor, I should be able to view tasks list",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-106288&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,Assign Tasks,"As a Supervisor, I should be able to add and assign tasks to employees",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2260-117212&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,Edit Task,"As a Supervisor, I should be able to edit the task assigned to employee.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-106288&t=R5jBQYWFVqPl0hxK-4,
,,,,,,,,,,
,Supervisor Operations,Profile,"As a Supervisor, I should be able to view profile with personal details and other details.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2386-109714&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,Edit Profile,"As a Supervisor, I should be able to edit profile including profile picture upload, personal details, and other details.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2386-110823&t=R5jBQYWFVqPl0hxK-4,
,,,,,,,,,,
,Supervisor Operations,Incident & Disciplinary,"As a Supervisor, I should be able to log an incident report for staff.",,,New,2,2,,
,Supervisor Operations,Request Correction,"As a Supervisor, I should be able to request attendance correction for staff.",,,New,2,2,,
,,,,,,,,,,
Employee Operations,,,,,,,,,,
,Employee Operations,Employee Dashboard,"As an Employee, I should be able to view cards
- upcoming shift card
- Leave Balance card
- Pending Requests card
- Performance Card",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-26249&t=R5jBQYWFVqPl0hxK-4,
,Employee Operations,View Weekly Schedule,"As an Employee, I should be able to view weekly schedule with week/month/day navigation and shift details for each day.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-26249&t=R5jBQYWFVqPl0hxK-4,
,Employee Operations,Clock In/Out & Breaks,"As an Employee, I should be able to clock in/out with timer display and break marking.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-26249&t=R5jBQYWFVqPl0hxK-4,
,Employee Operations,View & Complete Tasks,"As an Employee, I should be able to view today's tasks with priority, status, assigned by details and mark tasks complete.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-26249&t=R5jBQYWFVqPl0hxK-4,
,Employee Operations,View Notice Board,"As an Employee, I should be able to view notice board with notices and category tags.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-26249&t=R5jBQYWFVqPl0hxK-4,
,,,,,,,,,,
,Employee Operations,View Weekly Timecard Summary,"As an Employee, I should be able to view weekly timecard summary showing 
- Total Hours
- Break Time
- Net Hours
- Overtime.",,,New,4,4,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-26416&t=R5jBQYWFVqPl0hxK-4,
,Employee Operations,View Weekly Tasks,"As an Employee, I should be able to view weekly tasks by day with task details.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-26416&t=R5jBQYWFVqPl0hxK-4,
,Employee Operations,View All Timecards,"As an Employee, I should be able to view all timecards history",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-26416&t=R5jBQYWFVqPl0hxK-4,
,Employee Operations,Send Timecard for Approval,"As an Employee, I should be able to send timecard to supervisor for approval",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-26416&t=R5jBQYWFVqPl0hxK-4,
,Employee Operations,Submit Overtime Request,"As an Employee, I should be able to submit overtime request.",,,New,2,2,,
,Employee Operations,View All TImesheets,"As an Employee, I should be able to view all, approved, pending and rejected timesheet.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-26416&t=R5jBQYWFVqPl0hxK-4,
,,,,,,,,,,
,Employee Operations,Leave Management,"As an Employee, I should be able to submit a leave request.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2188-20959&t=R5jBQYWFVqPl0hxK-4,
,Employee Operations,View Leave Balances,"As an Employee, I should be able to view leave balance cards showing 
- Annual
- Sick
- Personal
- Unpaid leave counts.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-26322&t=R5jBQYWFVqPl0hxK-4,
,Employee Operations,View Past Leave Requests,"As an Employee, I should be able to view past leave requests in different tabs.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-26322&t=R5jBQYWFVqPl0hxK-4,
,Employee Operations,Cancel Pending Leave,"As an Employee, I should be able to cancel a pending leave request.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-26322&t=R5jBQYWFVqPl0hxK-4,
,,,,,,,,,,
,Employee Operations,Shift & Schedule,"As an Employee, I should be able to view my assigned shift schedule.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-26321&t=R5jBQYWFVqPl0hxK-4,
,,View Past Shift Requests,"As an Employee, I should be able to view past shift change requests with status and request details.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-26321&t=R5jBQYWFVqPl0hxK-4,
,Employee Operations,Submit Shift Change Request,"As an Employee, I should be able to submit shift change request",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2183-100113&t=R5jBQYWFVqPl0hxK-4,
,Employee Operations,View Shift Request Status,"As an Employee, I should be able to view shift change request status in different tabs.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-26321&t=R5jBQYWFVqPl0hxK-4,
,Employee Operations,Accept / Decline Shift Swap,"As an Employee, I should be able to accept / decline shift swap request.",,,New,2,2,,
,,,,,,,,,,
,Employee Operations,Documents & Compliance,"As an Employee, I should be able to upload new files",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-26324&t=R5jBQYWFVqPl0hxK-4,
,Employee Operations,View & Sign Compliance Documents,"As an Employee, I should be able to view and sign compliance documents.",,,New,4,4,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-26324&t=R5jBQYWFVqPl0hxK-4,
,Employee Operations,View Documents by Folder,"As an Employee, I should be able to view documents",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-26324&t=R5jBQYWFVqPl0hxK-4,
,Employee Operations,Download Employment Documents,"As an Employee, I should be able to download my employment documents.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-36110&t=R5jBQYWFVqPl0hxK-4,
,,,,,,,,,,
,,Employee Work Tasks,"As an Employee, I should be able to view tasks list in the tabs 
- All
- Completed
- Pending
- Due tasks count.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-36292&t=R5jBQYWFVqPl0hxK-4,
,Employee Operations,Update Task Status,"As an Employee, I should be able to update task status.",,,New,1,1,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-36292&t=R5jBQYWFVqPl0hxK-4,
,Employee Operations,Log Task Notes,"As an Employee, I should be able to log notes against a task.",,,New,1,1,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=5305-165898&t=R5jBQYWFVqPl0hxK-4,
,Employee Operations,View Pending Tasks Notification,"As an Employee, I should be able to view pending tasks notification banner.",,,New,1,1,,
,,,,,,,,,,
,Employee Operations,Submit reimbursement request,"As an Employee, I should be able to submit expense reimbursement request.",,,New,2,2,,
,Employee Operations,Access Leave from Dashboard,"As an Employee, I should be able to access leave request from dashboard.",,,New,2,2,,
,Employee Operations,Fill Leave Request Form,"As an Employee, I should be able to fill leave request form:
Start/End Data
Leave Type
Reason",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2188-20959&t=R5jBQYWFVqPl0hxK-4,
,Employee Operations,Check Leave Balance,"As an Employee, I should be able to check leave request quota and should be able to show remaining balance",,,New,1,1,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-26322&t=R5jBQYWFVqPl0hxK-4,
